sinhala,english,transliteration,pos,example_si,example_en
විනාඩියක් වේලෙන්න එන්න ඕන හරි ෂුවර්,want to come in get dry for a minute okay sure,winadiyak welenna enna ona hari shuwar,,,
හැකි නිසා ඔබ එම පියාපත් බොහෝ කලකට පෙර කළා,possible so you did those wings yeah a long time ago,heki nisa oba ema piyapath boho kalakata pera kala,,,
"ඔව්, බොහෝ කලකට පෙර ඔවුන් පෙනුමට වඩා කිරීමට අපහසු විය",yeah a long time ago they re harder to do than they look,ow boho kalakata pera owun penumata wada kireemata apahasu wiya,,,
ඔබ උත්සාහ කර ඇති බව පෙනෙනවාට වඩා ඒවා කිරීමට අපහසුය,they re harder to do than they look oh you ve tried,oba uthsaha kara ethi bawa penenawata wada ewa kireemata apahasuya,,,
"ඔහ්, ඔබ හොඳින් උත්සාහ කළා, මම කුඩා චිත්රයක් අඳිනවා",oh you ve tried well i do a little drawing,oh oba hondin uthsaha kala mama kuda chithrayak andinawa,,,
"ඔබට සත්යය පැවසීමට නම්, ඔබට බෙදා හැරීමට තවත් පැකේජ තිබේද?",to tell you the truth you did do you have any more packages to deliver,obata sathyaya pewaseemata nam obata beda hereemata thawath pekeja thibeda,,,
ඔබට ලබා දීමට තවත් පැකේජ තිබේද එය අවසන් එක නොවේ,do you have any more packages to deliver no that was the last one,obata laba deemata thawath pekeja thibeda eya awasan eka nowe,,,
ඔබට ලබා දීමට පැකේජයක් තිබී ඇත,what brings you out to the sticks had a package to deliver,obata laba deemata pekejayak thibee etha,,,
ඔබට පුද්ගලිකව බෙදා හැරීමට පැකේජයක් තිබුණි,had a package to deliver you personally,obata pudgalikawa beda hereemata pekejayak thibuni,,,
ඔබ පෞද්ගලිකව එය මා සමඟ දිවයිනේ තිබුණා,you personally i had it on the island with me,oba paudgalikawa eya ma samanga diwayine thibuna,,,
මම එය දිවයිනේ මා සමඟ තිබුණා එහි කතාවක් විය යුතුය,i had it on the island with me must be a story there,mama eya diwayine ma samanga thibuna ehi kathawak wiya yuthuya,,,
ඔව් දීර්ඝ එකක් මට ගොඩක් වෙලාව තියෙනවා,yeah a long one i ve got lots of time,ow deergha ekak mata godak welawa thiyenawa,,,
මට ගොඩක් වෙලාව තියෙනවා ඉතින් මටත්,i ve got lots of time so do i,mata godak welawa thiyenawa ithin matath,,,
"sonofabitch හේයි, එය ඔබට හොඳ වනු ඇත",sonofabitch hey be nice to it it ll be nice to you,heyi eya obata honda wanu etha,,,
ඔබ නැවත වැලියම් ගත්තද ඔබ ෆෝමල්ඩිහයිඩ් සුවඳයි,your eyes are puffy did you take valium again you smell like formaldehyde,oba newatha weliyam gaththada oba suwandayi,,,
මෙහි කඩදාසි මාර්ගය අනුගමනය කිරීමට සිදු විය,got to follow the paper path here chuck forget the xerox so russia didn t turn out well,mehi kadadasi margaya anugamanaya kireemata sidu wiya,,,
"ඔබ fedex සඳහා වැඩ කරන්නේ නම්, සුභ නත්තලක් නොවේ",merry christmas eve not if you work for fedex,oba sandaha weda karanne nam subha nowe,,,
හතර හතරක් වාර්තාවක් ඔබ ඒ ගැන එතරම් සතුටු නොවන බව පෙනේ,four four a record you don t seem too happy about it,hathara hatharak warthawak oba e gena etharam sathutu nowana bawa pene,,,
ඔහු හුරතල් දෙයක් ඔහු ඔබේ හුරුබුහුටි දෙයයි,he is a cute thing he s your cute thing,ohu hurathal deyak ohu obe hurubuhuti deyayi,,,
එයා ඔයාගේ හුරතල් දේ මට මාළුවවත් ජීවත් කරවන්න බෑ,he s your cute thing i can t even keep fish alive,eya oyage hurathal de mata jeewath karawanna be,,,
ඔබ ගමන් කරන විට මම ගමන් කරන විට ඔබ දන්නවා,you know for when you travel for when i travel,oba gaman karana wita mama gaman karana wita oba dannawa,,,
මුද්දක් මට ඕන ඔයා කරපු මුද්දක්,a ring i wanted a ring you did,muddak mata ona oya karapu muddak,,,
ඔයාට දැන් යන්න බෑ මට යන්න වෙනවා,you can t go now i have to,oyata den yanna be mata yanna wenawa,,,
මට ඔබට අවශ්යයි,i have to you want to,mata obata,,,
ඒ ඔබේ බල්ලා එය අපේ බල්ලා එය අපට අයිති ය,that s your dog it s our dog it belongs to us,e obe balla eya ape balla eya apata ayithi ya,,,
එය අපේ බල්ලා එය අපට අයිති අප කිසිවෙක් නැත,it s our dog it belongs to us there isn t any us,eya ape balla eya apata ayithi apa kisiwek netha,,,
අපි කවුරුත් නැහැ ඔව් ඉන්නවා,there isn t any us yes there is,api kawuruth nehe ow innawa,,,
බලන්න මම ආපු ගමන් අපි අපේ ගමන කරන්නම් පටන් ගන්නවත් එපා,look we ll do our trip as soon as i get back don t even start,balanna mama apu gaman api ape gamana karannam patan gannawath epa,,,
චක් ඔයා සතියකට මගේ හදවත කැඩෙනවා උපරිම හරි හරි,chuck you re breaking my heart a week max okay okay,chak oya sathiyakata mage hadawatha kedenawa uparima hari hari,,,
මට සමාවෙන්න මට සමාවෙන්න හේ හේ කමක් නෑ,i m sorry i m sorry hey hey it s okay,mata samawenna mata samawenna he he kamak ne,,,
"ඔබ ආපසු එන බව කීවා, දේවල් කිහිපයක් මතු වුණා හෝ පහළ ගියා",right back you said you d be right back a few things came up or went down,oba apasu ena bawa keewa dewal kihipayak mathu wuna ho pahala giya,,,
මම විවාහ වුණා ඔයාට වෙන්න ඇති කියලා මම හිතුවා,i got married i thought you might have,mama wiwaha wuna oyata wenna ethi kiyala mama hithuwa,,,
මම හිතුවා ඔයාට ඇති කියලා මම කවදාවත් කරන්නේ නැහැ කියලා,i thought you might have i would never,mama hithuwa oyata ethi kiyala mama kawadawath karanne nehe kiyala,,,
ඇගේ නම හැනා ඒ ජැන්ගෝ ය,her name s hannah is that jango,ege nama e ya,,,
මගේ අභිලේඛනය රුවල් මත ලියා ඇත්තේ කුමක්ද?,what s that written on the sail my epitaph,mage abhilekanaya ruwal matha liya eththe kumakda,,,
ඔව් මිනී පෙට්ටියේ හිස් ගලක් ඇතුලේ තිබ්බ දේ ඔක්කොම,yeah coffin headstone the whole thing what was inside,ow minee pettiye his galak ethule thibba de okkoma,,,
ඔයා නියමයි ඇත්තටම,you okay great really,oya niyamayi eththatama,,,
ඔයා මොනවද කරන්නේ මම දන්නේ නැහැ මම ඇත්තටම දන්නේ නැහැ,what will you do i don t know i really don t know,oya monawada karanne mama danne nehe mama eththatama danne nehe,,,
මමත් ඔයාට ආදරෙයි චක් ඔයාට,i love you chuck you too,mamath oyata adareyi chak oyata,,,
ඔබත් ඔබ ජීවතුන් අතර සිටීම ගැන මට ගොඩක් සතුටුයි,you too i m so glad you re alive,obath oba jeewathun athara siteema gena mata godak sathutuyi,,,
සහ ඔබේ නත්තල ඔබට කෙතරම් විශිෂ්ටද?,and how was your christmas terrific yours,saha obe naththala obata ketharam wishishtada,,,
සාමාන්ය ගුවන් ගමන හෙට අනිද්දා තුන්සියයට නියමිතයි,the regular flight is scheduled for oh three hundred tomorrow anything else,samanya guwan gamana heta anidda thunsiyayata niyamithayi,,,
ඔයා කිව්වොත් මම අනිවාර්යයෙන්ම කියනවා මම කියලා,if you say you are i most definitely say i am,oya kiwwoth mama aniwaryayenma kiyanawa mama kiyala,,,
ඔබට උදව්වක් අවශ්යයි මට ඔට්ටු අල්ලන්න මේ පාරට වඩදිය එනවා,need some help you bet i do high tide comes right up to this road,obata udawwak awashyayi mata ottu allanna me parata wadadiya enawa,,,
ඔයා එයාව ගේන්න යයි කියලා මමත් හිතුවා,thought you were going to bring her so did i,oya eyawa genna yayi kiyala mamath hithuwa,,,
ඔයාගේ කලිසමට මොකද උනේ අම්මේ මීට් ජන්ගෝ,what happened to your pants mom meet jango,oyage kalisamata mokada une amme meet,,,
එම ස්ථානය කඩා වැටෙමින් පවතින බව ඔබ සිතන්න එපා,don t you even think about it the place is falling apart,ema sthanaya kada wetemin pawathina bawa oba sithanna epa,,,
"ස්ථානය කඩා වැටෙමින් තිබේ, මම හොඳින් සිටිමි",the place is falling apart i m doing fine,sthanaya kada wetemin thibe mama hondin sitimi,,,
kamal මෙතන නෑ කවුද මේ කොහෙද kamal,kamal is not here who is this where is kamal,methana ne kawuda me koheda,,,
කවුද මේ කොහෙද කමල් අයිබ්රිම් මම සෝටර් කෙනෙක්,who is this where is kamal it is ibrim i i am a sorter,kawuda me koheda kamal mama kenek,,,
එය ibrim මම එහි සිදුවෙමින් පවතින දේ වර්ග කරන්නෙක්,it is ibrim i i am a sorter what s going on down there,eya mama ehi siduwemin pawathina de warga karannek,,,
එතන මොනවද වෙන්නේ කමල් මෙතන නැහැ අපි ගොඩක් දුර්වලයි,what s going on down there kamal is not here we are very defused,ethana monawada wenne kamal methana nehe api godak durwalayi,,,
හොඳ මිනිස්සු වෙනසක් සඳහා එකක් දිනාගත් ආකාරය එය විශිෂ්ටයි,how d it go great terrific the good guys won one for a change,honda minissu wenasak sandaha ekak dinagath akaraya eya wishishtayi,,,
ඔබ විනාඩි පහළොවක් ප්රමාද වූයේ කුමක්ද?,you what it was fifteen minutes late,oba winadi pahalowak pramada wuye kumakda,,,
මම ඇල්ලුවා ඔයා අපිව කෙලෙව්වා,i m touched you fucked us over,mama elluwa oya apiwa,,,
ඔයා එක ලෙඩෙක්,you are one sick fucker i m trying to help you here there s warsaw there s this,oya eka ledek,,,
කතා කිරීම ලාබයි අපි ඉන්නවද නැද්ද,talk is cheap are we on or not we re on,katha kireema labayi api innawada nedda,,,
දෙයියනේ දෙයියනේ අපරාදේ චක් ඒ ඔයා තමයි මේ මම,god damn god damn chuck it s you it s me,deyiyane deyiyane aparade chak e oya thamayi me mama,,,
ඔයා මැරිලා ඉන්නේ මමයි,it s me you re fucking dead,oya merila inne mamayi,,,
මම ඔබ පරාජය කළ අවස්ථා ෂිට් පල් ජේසුස් වෙත පරාජය කළෙමි,i beat the odds you beat em to shit pal jesus,mama oba parajaya kala awastha pal jesus wetha parajaya kalemi,,,
කොහොමද අපි මගේ පෝරුව බලන්න ඕන වෙන තැනකට ගියොත්,how about we go somewhere else want to see my raft,kohomada api mage poruwa balanna ona wena thenakata giyoth,,,
මේක හරිම නරකයි ඔයාට මගේ සුවඳ දැනෙන්න තිබුණා,this stinks really bad you should have smelled me,meka harima narakayi oyata mage suwanda denenna thibuna,,,
මම ඒවා ගෙතුම් ගොඩක් කල් ගත වෙන්න ඇති,i braided them must have taken a hell of a long time,mama ewa gethum godak kal gatha wenna ethi,,,
සිසිල් ලණු මම ඒවා ගෙතුවා,cool ropes i braided them,sisil lanu mama ewa gethuwa,,,
බොහෝ කාලයක් ගත වෙන්න ඇති මට බොහෝ දේ තිබුණා,must have taken a hell of a long time time i had lots of,boho kalayak gatha wenna ethi mata boho de thibuna,,,
ඔබ මේ දින හතළිස් තුනේ කොපමණ කාලයක් සිටියාද?,you were how long on this forty three days,oba me dina hathalis thune kopamana kalayak sitiyada,,,
විල්සන්ට විල්සන්ට,to wilson to wilson,,,,
ඔවුන්ට ජීවිතයට විහිළුවක් ගත නොහැකි නම් ජීවිතයට මගුලයි,to life fuck em if they can t take a joke to life,owunta jeewithayata wihiluwak gatha noheki nam jeewithayata magulayi,,,
ජීවිතයට ඇත්තේ එපමණකි,to life that s all there is,jeewithayata eththe epamanaki,,,
එපමණයි මම දන්නා මාව විශ්වාස කරන්න,that s all there is believe me i know,epamanayi mama danna mawa wishwasa karanna,,,
ඩිජිටල් ලේසර් කියවනය ඩිජිටල් ලේසර් කියවනය ඉතා විශිෂ්ටයි,digital laser readers digital laser readers wow terrific,dijital lesar kiyawanaya dijital lesar kiyawanaya itha wishishtayi,,,
"මෙම පැකේජය ලබා දෙන්නේ කුමක්ද, එවිට මම නොදනිමි",what then deliver this package then i dunno,mema pekejaya laba denne kumakda ewita mama nodanimi,,,
"සෑම දෙයකටම ස්තූතියි, දහඩිය නැත",thanks for everything no sweat,sema deyakatama sthuthiyi dahadiya netha,,,
නැවට එන්න අවසර සර් අවසර දුන්නා,permission to come aboard sir permission granted,newata enna awasara sar awasara dunna,,,
"අවසරය ලබා දී ඇත, ඔබ බැඳී සිටින්නේ කොහේදැයි මම අසමි",permission granted may i ask where are you bound,awasaraya laba dee etha oba bendee sitinne kohedeyi mama asami,,,
එතකොට මම ලස්සන නැහැ ඔයා ඔයා නම් ඒක හරිම අපූරුයි,then i wasn t beautiful you were you are it was fantastic,ethakota mama lassana nehe oya oya nam eka harima apuruyi,,,
ඔබ සිටියා නම් එය අතිවිශිෂ්ට විය එය ඊතර් විල්බර් පමණි,you were you are it was fantastic it was just the ether wilbur,oba sitiya nam eya athiwishishta wiya eya eethar wilbar pamani,,,
මම ඩොක්ටර් කෙනෙක් නෙවෙයි මට සමාවෙන්න හෝමර්,i m not a doctor i m sorry homer,mama doktar kenek neweyi mata samawenna homar,,,
"ඔබ ඉතා හොඳින් උයනවා, මට ට්රක් රථයක් පදවන්න පුළුවන්",you cook very well and that i can drive a truck,oba itha hondin uyanawa mata trak rathayak padawanna puluwan,,,
ඒ වගේම මට ට්රක් රථයක් මට වඩා හොඳට පදවන්න පුළුවන් කියලා,and that i can drive a truck better than i can,e wagema mata trak rathayak mata wada hondata padawanna puluwan kiyala,,,
තාත්තේ ඒක මට ලියපු ලිපියක් එයා ඔයා දන්න හෝමර් ගැනත් සඳහන් කරනවා,daddy it s a letter to me he mentions homer too you know,thaththe eka mata liyapu lipiyak eya oya danna homar genath sandahan karanawa,,,
ඉතින් කැන්ඩි කැන්ඩි කෙන්ඩල් මහත්මිය,so mrs candy candy kendall,ithin kendi kendi mahathmiya,,,
මට තනියම බබෙක් හදන්න බෑ එයා ආපහු එනවද කියලවත් මට තේරෙනවා,i can t have a baby alone i don t even know if he s coming back i understand,mata thaniyama babek hadanna be eya apahu enawada kiyalawath mata therenawa,,,
ඔවුන් නරඹන විට ඔබ චිත්රපටවලට කැමතිද ඔව් මම නරඹා ඇත්තේ එකක් පමණි,when they watched at all do you like movies yes i ve only seen one though,owun narambana wita oba chithrapatawalata kemathida ow mama naramba eththe ekak pamani,,,
ඔබ නරඹා ඇත්තේ එක් කිං කොං චිත්රපටයක් පමණක් වන අතර එය ඇත්තෙන්ම හොඳයි,you ve seen only one movie which one king kong it s really good,oba naramba eththe ek king chithrapatayak pamanak wana athara eya eththenma hondayi,,,
ඇය කැඩී බිඳී ගිය හදවතකින් මිය ගියාය,she was torn apart she died of a broken heart oh sure,eya kedee bindee giya hadawathakin miya giyaya,,,
නමුත් ඔබට එතරම් වගකීමක් තිබුණා මම කිසිම වගකීමක් ඉල්ලුවේ නැහැ,but you had so much responsibility i never asked for any responsibility,namuth obata etharam wagakeemak thibuna mama kisima wagakeemak illuwe nehe,,,
මම කවදාවත් කිසිම වගකීමක් ඉල්ලුවේ පොඩි පෞද්ගලිකත්වයක් විතරයි,i never asked for any responsibility just a little privacy,mama kawadawath kisima wagakeemak illuwe podi paudgalikathwayak witharayi,,,
මට කියන්න ඔයාට මාව යන්න ඕනද මම ඉන්න ඕනද ඒක හරි යයි,just tell me do you want me to go do you want me to stay it will be okay,mata kiyanna oyata mawa yanna onada mama inna onada eka hari yayi,,,
ඒක හරි වෙයි මොකක්ද හරි වෙයිද කියලා,it will be okay what will be okay,eka hari weyi mokakda hari weyida kiyala,,,
ඔයාට ඒක තේරෙන්නේ නෑ එයාගේ තාත්තා රෝස් දන්නවා,you don t understand it s her father mr rose knows,oyata eka therenne ne eyage thaththa ros dannawa,,,
රෝස් මහතා දන්නවා ඔහු පියා ඔහු ඇගේ දරුවාගේ පියා බව,mr rose knows he s the father he s her baby s father,ros mahatha dannawa ohu piya ohu ege daruwage piya bawa,,,
මට කියන්න ඔයාට කරන්න ඕන දෙයක් මම කරන්නම් කියලා,just tell me i ll do whatever you want to do nothing,mata kiyanna oyata karanna ona deyak mama karannam kiyala,,,
කිසිවක් බලා සිටීම හා බැලීම වැනි දෙයක් නොවේ,nothing isn t that like waiting and seeing,kisiwak bala siteema ha beleema weni deyak nowe,,,
ඔහු අංශභාග රෝගයෙන් පෙළෙන බව මට කණගාටුයි,i know i m sorry he s paralyzed,ohu anshabhaga rogayen pelena bawa mata kanagatuyi,,,
"හොඳයි, කරුණාකර එපා",did well okay please don t,hondayi karunakara epa,,,
"මම කැන්ඩි හරහා ගිය දේ ඔබ අත්විඳ නැත, ඔව් මට තිබේ",you ain t been through what i been through candy yes i have,mama kendi haraha giya de oba athwinda netha ow mata thibe,,,
"බොහෝ දරුවන් ඔවුන් සියල්ලන්ම අනාථයි, මෙය අනාථ නිවාසයකි",so many children are they all orphans well this is an orphanage,boho daruwan owun siyallanma anathayi meya anatha niwasayaki,,,
ඔබ කිව්වා ඇපල් හරියට පියාඹන්නේ නැහැ කියලා,you said apples aren t exactly flying well they aren t,oba kiwwa epal hariyata piyambanne nehe kiyala,,,
මම ඔයාට ආදරෙයි wally මම ඔයාට ආදරෙයි හෙට ඔයාව බලන්න,i love you wally i love you too see you tomorrow,mama oyata adareyi mama oyata adareyi heta oyawa balanna,,,
මම හිතුවේ එයාලට කෙල්ලෙක් ඕනේ කියලා මාව අරන් යයි කියලා,i thought they might take me they wanted a girl,mama hithuwe eyalata kellek one kiyala mawa aran yayi kiyala,,,
ඒක ඇත්ත කවුරුත් මගෙන් ඉල්ලලා නැහැ,that s true nobody s asked for me have they,eka eththa kawuruth magen illala nehe,,,
ඇගේ උෂ්ණත්වය එකසිය හතරයි ආදරණීය දහතුන ඔබේ වයස කීයද?,her temperature is a hundred and four how old are you dear thirteen,ege ushnathwaya ekasiya hatharayi adaraneeya dahathuna obe wayasa keeyada,,,
ඔයාගේ තාත්තා මැරිලාද සිරෝසිස් ඒක අක්මා රෝගයක්,is your father dead cirrhosis it s a disease of the liver,oyage thaththa sirosis eka akma rogayak,,,
සිරෝසිස් එය අක්මාවේ අක්මාවේ රෝගයක් ඔහුව මරා දැමීය,cirrhosis it s a disease of the liver liver killed him,sirosis eya akmawe akmawe rogayak ohuwa mara demeeya,,,
ඇයත් දැන් මැරිලා ඉන්නේ ඇය නැනී කෙනෙක් මොකද කරන්නේ නැනී,she s dead now too she was a nanny what s a nanny do,eyath den merila inne eya nenee kenek mokada karanne nenee,,,
මම නැනී කෙනෙක්ද ඇය අනුන්ගේ දරුවන් බලාගන්නවා,what s a nanny do she looks after other people s children,mama nenee kenekda eya anunge daruwan balagannawa,,,
ඇය අන් අයගේ දරුවන් බලාගන්නවා ඔබ මෙහි හැදී වැඩුණාද?,she looks after other people s children did you grow up around here,eya an ayage daruwan balagannawa oba mehi hedee,,,
ඔබ හැදී වැඩුණේ මෙහේ නොවේද ඇය සංක්රමණිකයෙක්,did you grow up around here no she was an immigrant,oba hedee wedune mehe noweda eya,,,
නැත ඇය සංක්රමණිකයෙකු වූ අතර සංක්රමණිකයෙකි,no she was an immigrant what s an immigrant,netha eya wu athara,,,
මේන් වලින් නොවන සංක්රමණිකයෙක් යනු කුමක්ද?,what s an immigrant someone not from maine,men walin nowana yanu kumakda,,,
අහ් ෂුවර් ඒක තමයි කොංග් හිතන දේ හරි කියලා ඒකයි කොං එයාට ආදරේ කරන්නේ,uh sure that s what kong thinks all right that s why kong loves her,ah shuwar eka thamayi hithana de hari kiyala ekayi eyata adare karanne,,,
"ඔහ්, එය ඔක්තෝබර් අවසානය එය ඉක්මනින් වේ",uh it s the end of october is that soon,oh eya okthobar awasanaya eya ikmanin we,,,
ඔයා ඒක කෑවද මට මතක නෑ,did you bite it i don t remember,oya eka kewada mata mathaka ne,,,
මට මතක නෑ ඔයා ඒක හපලා වගේ ඒක හරි යයි කියලා,i don t remember it looks like you bit it it ll be all right,mata mathaka ne oya eka hapala wage eka hari yayi kiyala,,,
ඔබ පියාසර කරන්නේ කුමන ආකාරයේ ගුවන් යානයක්ද b 24 liberator,what kind of plane are you flying a b 24 liberator,oba piyasara karanne kumana akaraye guwan,,,
විමුක්තිදායකයා ඔබ ලියාපදිංචි කර ඇත,liberator have you enlisted,wimukthidayakaya oba liyapadinchi kara etha,,,
ඔබ මට ගමනක් දිය හැකිදැයි මම කල්පනා කරමි,i wonder if you might give me a ride sure be glad to uh a ride where,oba mata gamanak diya hekideyi mama kalpana karami,,,
ඔබ යන්නේ කොහේද යන්න ගැන නිසැකවම සතුටු වන්න,sure be glad to uh a ride where where are you going,oba yanne koheda yanna gena nisekawama sathutu wanna,,,
ඔබ කොහෙද යන්නේ අපි නැවතත් කේප් කෙනත් වෙත යමු,where are you going we re heading back to cape kenneth,oba koheda yanne api newathath kep kenath wetha yamu,,,
ඔයා ටිකක් වැඩියි නේද ඔයා මට රස්සාවක් ඕන නෑ,you re a little overqualified aren t you no i m not i need a job,oya tikak wediyi neda oya mata rassawak ona ne,,,
ඔවුන් සංක්රමණික සංක්රමණිකයන් ය,they re migrants migrants,owun sankramanika sankramanikayan ya,,,
එය හරියට ගස් ගැන පියාසර කරනවා හා සමානයි,it s almost like flying what about the trees,eya hariyata gas gena piyasara karanawa ha samanayi,,,
මේක ලේසියි මම ඉක්මන් කරන්නේ නැහැ ඔබ තවමත් එය ඉතා වේගයෙන් කරනවා,this is easy i m not hurrying you still doin it too fast,meka lesiyi mama ikman karanne nehe oba thawamath eya itha wegayen karanawa,,,
"මම හෝමර් නැවතී සිටිමි, එවිට ඔබට ප්රයෝජනවත් විය හැකිය",i m stayin homer okay then you can be of use,mama homar newathee sitimi ewita obata prayojanawath wiya hekiya,,,
පළමු ගැබ් ගැනීම ඔව් දෙකම සඳහා,first pregnancy yes for both,palamu geb geneema ow dekama sandaha,,,
එය පැහැදිලිවම ගබ්සාවකි,it s obviously an aborticide obviously,eya pehediliwama,,,
christ it s oil of tansy මම ඒක දන්නේ නැහැ,christ it s oil of tansy i don t know it,mama eka danne nehe,,,
මේ නම් පත්රය කවුරුවත් තවම නම් කරලා නැහැ,where s the name sheet nobody s named this one yet,me nam pathraya kawuruwath thawama nam karala nehe,,,
"කිසිවෙකු තවමත් මෙය නම් කර නැත, මේ මගේ වාරයයි",nobody s named this one yet it s my turn,kisiweku thawamath meya nam kara netha me mage warayayi,,,
මම හිතන්නේ නැහැ ඔයා එහෙම කරයි කියලා,i don t think so you do it then,mama hithanne nehe oya ehema karayi kiyala,,,
මම හිතුවා මේ මගේ වාරේ මේක මම අරන් දෙන්නම් ඔයා ඉස්සරහට යන්න,i thought it was my turn it is i ll get this you go ahead,mama hithuwa me mage ware meka mama aran dennam oya issarahata yanna,,,
මේක කොච්චර කල් මඩ වෙලා යනවද ඔයා ඒක නවත්වන්නේ නෑ,how long s this been going on muddy long enough you ain t gonna stop it,meka kochchara kal mada wela yanawada oya eka nawathwanne ne,,,
ඔබ ජලනල කාර්මිකයෙක් නොවේ නම් රෝස රෝස ලස්සනයි,rose rose pretty ain t it you a plumber,oba jalanala karmikayek nowe nam rosa rosa lassanayi,,,
මොකක්ද ඒක මගේ හදවත විතරයි,what s that it s just my heart,mokakda eka mage hadawatha witharayi,,,
ඔබට ඔබේ හදවතේ පින්තූරයක් ලැබුණේ මගේ හදවත පමණි,it s just my heart what you got a picture of your heart for,obata obe hadawathe pinthurayak lebune mage hadawatha pamani,,,
"ඔබට කරදරයක් නැත, කරදරයක් නොවනු ඇතැයි මම බලාපොරොත්තු වෙමි",you ain t gettin in no trouble i hope no trouble,obata karadarayak netha karadarayak nowanu etheyi mama balaporoththu wemi,,,
"ඔබ තවම මාස තුනක් නැත, ඔබ තවමත් ඒ ගැන දන්නේ නැත",you re not yet three months are you not yet what do you know about it,oba thawama masa thunak netha oba thawamath e gena danne netha,,,
ඒක තමයි ඒක,that s it that s it,eka thamayi eka,,,
දැන් කවුද ගණන් ගන්නේ එයා හොඳ ළමයෙක්,who cares now now he s a good boy,den kawuda ganan ganne eya honda lamayek,,,
"දැන් එයා හොඳ ළමයෙක්, අපි දන්නේ නැහැ ඔහු කවුද කියලා",now now he s a good boy shit we don t know what he is,den eya honda lamayek api danne nehe ohu kawuda kiyala,,,
ඔබ ඔබේම ව්යාපාරයක් ගැන සිතා බලන්නේ නැත,ain t you gonna see what it is homer mind your own business peaches,oba obema wyaparayak gena sitha balanne netha,,,
සමාවෙන්න හෝමර් ඔබේම ව්යාපාරයක් ගැන සිතන්න,mind your own business peaches sorry homer,samawenna homar obema wyaparayak gena sithanna,,,
මේ තැන ගෙදර වගේ වෙන්න එපා ඒක ගෙදරට වඩා ලස්සනයි,don t this place look like home it look nicer then home,me thena gedara wage wenna epa eka gedarata wada lassanayi,,,
ගෙදරට වඩා ලස්සනට පේනවා ඔයාලා දෙන්නා මොකද කළේ ඒක ලස්සන කරන්න,it look nicer then home what have you two been doin to make it look so nice,gedarata wada lassanata penawa oyala denna mokada kale eka lassana karanna,,,
"ඔබ දැනටමත් කරදරයක සිටින බව පෙනේ, එය හරි එය මට කරදරයක් සේ පෙනේ",that sounds like you is in trouble already homer that s right that sounds like trouble to me,oba denatamath karadarayaka sitina bawa pene eya hari eya mata karadarayak se pene,,,
දැන් ජැක් ඒක හරි නෑ ඔයා කරදරයෙන් බේරෙන්න හෝමර්,now now jack that just ain t right you just stay out of trouble homer,den jek eka hari ne oya karadarayen berenna homar,,,
රෝස රෝස ඇය රාත්රියේ ඉවතට පැන ගියේය,rose rose has runned away she took off in the night,rosa rosa eya rathriye iwathata pena giyeya,,,
රාත්රියේ ඇය බයිසිකල් මිනිසා මතින් පිටත් වූවාය,she took off in the night she took off on the bicycle man,rathriye eya bayisikal minisa mathin pitath wuwaya,,,
සෙල්ලම් කළාට ස්තූතියි මට ටිකක් අමාරු දවසක් වාඩි වෙන්න,thanks for playing along i just have to sit for a while tough day,sellam kalata sthuthiyi mata tikak amaru dawasak wadi wenna,,,
රතු කොඩි ඇති බව නොදැනෙන බව මම දනිමි,i know it won t go unnoticed there ll be red flags,rathu kodi ethi bawa nodenena bawa mama danimi,,,
එවිට එය ashby සම්මත දහයේ කැසීම ලබා ගනී,then there it is ashby gets the itch the standard ten,ewita eya sammatha dahaye keseema laba ganee,,,
සම්මත සියයට දහය කොපමණද යන්න,the standard ten ten percent of how much,sammatha siyayata dahaya kopamanada yanna,,,
මිලියන දෙකෙන් සියයට දහයක්,ten percent of how much two million,miliyana deken siyayata dahayak,,,
මම ජේක් ද ඇන්ටි ක්රිස්තුස් කවුද කියලා දන්නවා,know who i am jake the anti christ,mama jek da enti kristhus kawuda kiyala dannawa,,,
පසුගිය සති තුන එය ආරම්භ කිරීමට නරක තැනක් නොවේ,just the last three weeks that s not a bad place to start,pasugiya sathi thuna eya arambha kireemata naraka thenak nowe,,,
අප සැමට ඔබ වැනි ආදර්ශමත් පුරවැසියන් විය නොහැක,grifters we can t all be model citizens such as yourself,apa semata oba weni adarshamath purawesiyan wiya noheka,,,
ඒ සියල්ල මුදල් ගැන නොවේ එය සැමවිටම නොවේ,it s all about the money isn t it isn t it always,e siyalla mudal gena nowe eya semawitama nowe,,,
නමුත් මේ දක්වා මට පැහැදිලි නොවූ වෙනත් සාධක තිබේ,but there were other factors factors that weren t clear to me until now,namuth me dakwa mata pehedili nowu wenath sadhaka thibe,,,
"වාසනාව හාස්යජනක දෙයක්, විශේෂයෙන් නරක දේ වැනි දේ",luck s a funny thing especially the bad like what,wasanawa hasyajanaka deyak wisheshayen naraka de weni de,,,
ඔබ ඇයව ලිහිල් කළ පසු අපි නැවත පැමිණියෙමු,we were back on after you cut her loose,oba eyawa lihil kala pasu api newatha peminiyemu,,,
ඔබ ඇයව ලිහිල් කළ පසු ඇය ඇවිද ගියාය,after you cut her loose she walked,oba eyawa lihil kala pasu eya ewida giyaya,,,
හරි හරි අද වෙච්ච දේ නියමෙට පටන් ගත්තා,alrlght alrlght what happened today today started off great,hari hari ada wechcha de niyameta patan gaththa,,,
